model_name,width_mult,model_size_mb,num_params,best_val_acc,best_epoch,test_acc,test_precision,test_recall,test_f1,training_time,inference_time_ms,checkpoint_path
Base MobileNetV2 (width_mult=1.0),1.0,8.633468627929688,2228996,99.53227315247895,24,99.83164983164983,99.83292521171309,99.83164983164983,99.83170435246097,1567.873848438263,28.025820600464687,checkpoints/comparison\base_mobilenetv2_(width_mult=1.0)\best.pth
Base MobileNetV2 (width_mult=0.75),0.75,5.2920989990234375,1360548,98.87745556594949,28,98.82154882154882,98.8416704047943,98.82154882154882,98.81620807873988,1662.5908150672913,28.917630513509113,checkpoints/comparison\base_mobilenetv2_(width_mult=0.75)\best.pth
MobileNetV2 with Mish (width_mult=0.75),0.75,5.2920989990234375,1360548,99.90645463049579,18,99.4949494949495,99.49832375478927,99.4949494949495,99.49502835039759,1360.234712600708,27.656380977694837,checkpoints/comparison\mobilenetv2_with_mish_(width_mult=0.75)\best.pth
MobileNetV2 with Mish and Triplet Attention (width_mult=0.75),0.75,5.312526702880859,1365699,99.43872778297474,17,99.4949494949495,99.50430228208006,99.4949494949495,99.49586839839674,1389.300229549408,28.17023201823636,checkpoints/comparison\mobilenetv2_with_mish_and_triplet_attention_(width_mult=0.75)\best.pth
"MobileNetV2 with Mish, Triplet Attention, and CNSN (width_mult=0.75)",0.75,5.320957183837891,1367909,69.69130028063611,26,71.88552188552188,71.3580668348958,71.88552188552188,70.34200438757554,6827.800616502762,35.921971003214516,"checkpoints/comparison\mobilenetv2_with_mish,_triplet_attention,_and_cnsn_(width_mult=0.75)\best.pth"
