model_name,width_mult,model_size_mb,num_params,best_val_acc,best_epoch,test_acc,test_precision,test_recall,test_f1,training_time,inference_time_ms,checkpoint_path
Base MobileNetV2 (width_mult=1.0),1.0,8.804500579833984,2273831,98.45612134344529,27,98.01915895437571,98.0291733524434,98.01915895437571,98.01494336822694,5043.209995031357,3.167959559484433,checkpoints/comparison/pv\base_mobilenetv2_(width_mult=1.0)\best.pth
Base MobileNetV2 (width_mult=0.75),0.75,5.463130950927734,1405383,97.89635247381726,20,97.66195811008281,97.6686877474869,97.66195811008281,97.65532988530498,3755.251849412918,3.112614551599313,checkpoints/comparison/pv\base_mobilenetv2_(width_mult=0.75)\best.pth
MobileNetV2 with Mish (width_mult=0.75),0.75,5.463130950927734,1405383,98.5464066449982,27,98.40883260269524,98.4206346548488,98.40883260269524,98.40558458822565,6575.562993049622,3.473297963960737,checkpoints/comparison/pv\mobilenetv2_with_mish_(width_mult=0.75)\best.pth
MobileNetV2 with Mish and Triplet Attention (width_mult=0.75),0.75,5.483558654785156,1410534,98.55543517515349,20,98.3601233966553,98.36543148448109,98.3601233966553,98.35292173816791,6343.343471765518,3.6140546955096875,checkpoints/comparison/pv\mobilenetv2_with_mish_and_triplet_attention_(width_mult=0.75)\best.pth
"MobileNetV2 with Mish, Triplet Attention, and CNSN (width_mult=0.75)",0.75,5.4919891357421875,1412744,86.99891657638136,37,86.57249553498944,87.1439323236756,86.57249553498944,86.20107324061165,77613.01837182045,12.562419594369706,"checkpoints/comparison/pv\mobilenetv2_with_mish,_triplet_attention,_and_cnsn_(width_mult=0.75)\best.pth"
